city,State,Jan.2019,Feb.2019,Mar.2019,Apr.2019,May.2019,Jun.2019,Jul.2019,Aug.2019,Sep.2019,Oct.2019,Nov.2019,Dec.2019,Jan.2020,Feb.2020,Mar.2020,Apr.2020,May.2020,Jun.2020,Jul.2020,Aug.2020,Sep.2020,Oct.2020,Nov.2020,Dec.2020
Abilene,TX,134088,134271,134473,134844,135201,135388,135521,136207,136927,137398,136780,136374,136401,137341,138206,138884,139472,140310,141291,142059,143000,144031,145820,147375
Amarillo,TX,135485,135848,136049,136041,136354,136695,137436,137885,138304,138345,138350,138535,138723,138923,138977,139497,139763,140146,140382,141053,142031,143448,145129,146744
Arlington,TX,209390,210356,210997,211557,212769,213449,214107,214689,215785,216681,217354,217870,218615,219632,220790,221805,222768,224049,225501,227496,229256,231246,233140,235306
Austin,TX,394776,397932,399382,400625,401369,403409,405279,406897,408674,409196,410170,411304,414077,416886,420810,424918,429394,432914,437054,441603,447303,454100,461965,469568
Beaumont,TX,111531,111822,112301,112470,112407,112309,112627,113258,113662,114086,114352,114925,115630,116478,117132,117954,119092,120303,121230,121969,122934,123827,124934,125851
Bellaire,TX,907836,908477,907338,902698,900177,898647,898530,896766,893099,892450,887721,883894,876056,874103,875345,877985,878259,878322,878316,878996,881763,883226,888087,892868
Bellmead,TX,76395,77746,79005,79850,79969,79960,80711,81736,83319,84417,85058,86058,87108,87965,89069,90294,91909,93310,94535,95769,96850,98131,99827,101399
Big Spring,TX,115536,116040,116844,117481,118346,119180,120268,121460,122523,123345,123549,123802,124225,124292,124226,124198,124338,124505,124598,125225,126019,127070,128224,129575
Brady,TX,103087,103455,103893,104328,104912,105754,106632,107559,107852,108062,107855,108229,108871,109235,109349,109323,109667,109849,110103,110407,111171,112027,113257,114123
Brownsville,TX,98227,99028,99540,99714,99492,99837,100272,100942,100942,100881,100678,101256,102074,102770,103393,104234,105642,106969,108216,109344,110920,112613,114523,115920
Cedar Park,TX,341278,344738,347283,348576,349644,351599,353795,355160,356028,353834,351523,349951,351691,353523,355657,358110,360675,362892,365539,368855,373125,379440,386632,393495
Corpus Christi,TX,158637,158297,158541,158875,159446,159328,159459,160003,160899,161670,162398,163784,165299,166753,167649,168799,169760,171264,172600,173970,175212,176688,178002,178953
Dallas,TX,220443,222113,223638,224450,225082,225765,226373,227104,228387,227635,227040,225487,226495,227160,228427,229400,230712,232079,233567,234751,236189,238988,242006,245194
El Paso,TX,134016,134528,135564,136830,138122,139149,139796,140295,139561,138583,137963,138444,139334,140103,140656,141147,141469,141874,142661,143694,145704,148006,150179,151896
Elsa,TX,73211,72972,73126,73441,73898,74392,75500,76016,76223,75864,75848,76634,77811,79432,80755,82095,83231,84228,85176,86699,88942,91501,93852,95787
Fort Worth,TX,203127,203966,204515,204976,206137,206668,207242,207655,208588,209319,209837,210241,210841,211726,212681,213506,214311,215507,216842,218670,220262,222125,224003,226118
Friendswood,TX,305457,307537,309334,310023,310653,310990,310767,310986,311591,312716,314171,315129,315684,316019,316513,317720,318774,320445,323024,325484,327681,329465,331528,333867
Galveston,TX,223683,225765,228152,229379,229629,229488,229195,229432,229755,229564,229796,229999,230934,231635,232257,233490,234959,236994,239420,241515,243682,246538,249699,252776
Garland,TX,203878,205434,206823,207440,207685,207780,208015,208662,209731,209488,209384,208409,208971,209359,210453,211505,213016,214621,216147,217220,218714,221203,223922,226758
Harlingen,TX,102231,102704,103254,103573,103733,104491,105321,106500,106978,107481,107473,108302,109357,110447,111167,111950,112839,113535,114442,115493,116809,118346,120066,121233
Hillsboro,TX,76379,76643,76828,77170,77439,77862,78165,78501,78688,78825,78922,78935,79187,79044,78937,78617,78545,78472,78434,78457,78594,78905,79359,79852
Houston,TX,185624,186580,187034,186923,187163,187957,188895,189722,189870,190344,190508,190962,190943,191345,192300,193417,194393,195129,195991,197011,198710,200396,202549,204655
Iowa Park,TX,92301,92263,92671,92920,93688,94108,94673,94661,94882,95130,95777,96904,97544,97960,97797,98129,98021,98360,98748,99910,101031,102246,103259,104052
Irving,TX,228836,230508,231684,232358,232732,233293,233849,234973,236702,236937,237267,236384,237334,237868,239341,240567,242176,243778,245342,246300,247469,249737,252186,254721
Kaufman,TX,172116,172647,174261,176198,178129,179463,180886,182291,184148,184138,185900,187154,189367,190719,191508,192748,193549,195333,197805,199740,201292,203413,205376,208084
Kerrville,TX,237734,238553,239463,240421,241585,242754,243975,245355,245976,246600,246652,247363,248035,248021,247847,247567,247618,247804,248157,248940,250588,252409,254661,256560
La Marque,TX,131947,133020,134895,136456,137968,139768,140796,142240,143589,144834,146005,147030,148122,148397,148037,147927,147860,147915,148649,149177,149822,150468,151185,152052
Lamesa,TX,66121,66555,67009,67507,67930,68307,68715,69109,69462,69838,69966,70049,70128,70295,70459,70604,70805,71099,71338,71651,71981,72365,72962,73659
Laredo,TX,176835,176814,177076,177313,177398,177252,176959,176709,176757,177791,177544,176169,173306,172169,171686,171126,170365,169556,168975,168232,167136,165026,163365,162459
Lubbock,TX,143045,143413,143347,143576,143685,144270,145020,145460,145766,145467,145687,146206,147001,147747,148780,149749,150955,152124,153301,154404,155701,157231,158360,159338
Lufkin,TX,107638,108005,108328,108767,109448,110118,110682,110768,110502,110729,111025,111658,111897,111801,111644,111315,111088,110936,110912,110996,111293,111290,111651,111848
McAllen,TX,138809,138784,138834,139288,140071,140733,141351,141678,141959,142178,142615,143434,144359,145347,146124,146825,147306,148032,148923,150141,151402,152857,154405,155790
Midland,TX,265449,267481,268618,269274,270331,271783,273275,273306,273255,272430,270998,268411,266784,266640,266471,266594,265714,264389,263006,262333,261314,260573,259808,259791
Monahans,TX,116847,117657,118212,118641,119159,120073,120914,121626,122123,122853,123912,124888,125615,125773,126010,126224,126720,126988,127242,127616,128044,128150,127988,127803
Nacogdoches,TX,126197,126687,127175,127684,128141,128516,128904,129453,129992,130591,130841,131168,131425,131393,131283,131033,131165,131377,131629,131844,132062,132270,132804,133357
Odessa,TX,170979,171537,172614,173758,174956,175882,176951,177945,178931,179894,180967,181790,182325,182390,182041,181759,181431,181360,181098,181075,180965,180691,179978,179435
Paris,TX,86909,87143,87340,87677,88009,88386,88802,89306,89802,90281,90497,90685,90821,90751,90649,90507,90638,90816,91064,91314,91624,91988,92668,93464
Pecos,TX,108553,109233,110141,111442,112522,113128,113954,115453,116622,117929,118980,120322,122116,123034,124177,124020,124691,125808,126753,127281,127919,128187,128920,129411
Port Arthur,TX,55818,56059,56438,56820,57367,57821,57859,57764,57553,58150,59141,60457,61229,61709,62001,62376,62867,63536,64551,65590,66732,67064,67223,67111
Rio Grande City,TX,65348,65409,65335,65445,65598,65808,65750,65791,65858,66255,66360,66423,66386,66323,66281,66143,66108,66061,66251,66345,66592,66651,66977,67154
San Angelo,TX,138329,138069,137696,137678,137718,137822,138053,138442,139271,138973,138718,137553,137635,137719,138496,139164,139868,140463,140974,141513,142122,143414,144728,146692
San Antonio,TX,182626,184083,184551,185529,186295,187335,187994,188533,189212,189506,190021,190029,190583,190667,191343,191639,192132,192622,193484,194590,196002,197720,199522,201477
San Marcos,TX,220693,222381,223266,223447,223450,223535,224064,224698,226164,227158,228233,229151,230588,230556,230760,231049,232785,234603,236287,238339,240600,243812,247257,250912
Terrell Hills,TX,676580,681547,682397,685395,686956,689573,689761,690124,690819,691683,692827,691523,692717,691361,693598,692678,693093,693950,696987,700458,705263,710180,715441,721054
Texarkana,TX,125130,125581,126061,126556,127293,127736,128034,128480,129137,129774,129851,129919,130245,130210,130027,129620,129582,129682,129921,130118,130238,130388,130932,131588
Tyler,TX,146318,147001,148187,149537,151103,152247,153332,154085,154904,155766,156998,158514,160000,161586,162707,163870,164709,166029,167366,169013,170632,172125,173480,174491
University Park,TX,1429200,1430456,1430815,1431177,1431156,1431910,1432619,1434119,1437813,1431290,1426276,1416888,1420591,1422696,1429045,1432268,1437170,1442113,1448019,1452649,1458324,1471717,1485609,1500953
Victoria,TX,146021,146263,146460,146955,147846,149048,149836,150105,150174,150159,150225,149890,150035,150753,151820,152728,153298,153829,154654,155817,157161,158635,160162,161980
Waco,TX,131168,132106,132742,133039,133503,133987,134797,135213,136372,136460,136594,136925,138062,139301,140570,141973,143069,144137,145170,146656,147947,149961,151996,153854
Wichita Falls,TX,96568,96785,97035,97517,98127,98466,98688,98753,98962,99126,99520,100194,100570,101315,101905,102875,103537,104563,105907,107533,109205,111045,112829,114471