city,avg_income,population,percent_bach
Abilene,50659,123420,23.5
Amarillo,52725,199371,23.7
Arlington,60571,398854,30.3
Austin,71576,978908,51.7
Beaumont,50632,116825,24.5
Bellaire,206734,18971,79.6
Bellmead,41696,10744,12.2
Big Spring,52275,28187,11.5
Brady,44951,5302,12.3
Brownsville,38588,182781,18.9
Cedar Park,104019,79462,50.1
Corpus Christi,56333,326586,22.2
Dallas,52580,1343573,33.4
El Paso,47568,681728,25.1
Elsa,35994,7174,11
Fort Worth,62187,909585,29.7
Friendswood,111478,40290,48.6
Galveston,49319,50446,29.2
Garland,61211,239928,22.9
Harlingen,39752,65022,17.7
Hillsboro,44444,8476,18.2
Houston,52338,2320268,32.9
Iowa Park,56800,6339,17.4
Irving,64868,239798,37.7
Kaufman,46793,7788,10.9
Kerrville,48446,23754,28.7
La Marque,53964,17319,16.9
Lamesa,36904,9147,14.9
Laredo,47593,262491,19.4
Lubbock,50453,258862,31.5
Lufkin,48588,35021,21.7
McAllen,46804,143268,30.3
Midland,79329,146038,28.9
Monahans,64870,7816,13.9
Nacogdoches,36553,32877,29.9
Odessa,63847,123334,18.5
Paris,32544,24847,15
Pecos,60582,10461,11
Port Arthur,36557,54280,11.7
Rio Grande City,33084,14511,13.9
San Angelo,51928,101004,24.7
San Antonio,52455,1547253,26
San Marcos,40370,64776,33.5
Terrell Hills,181979,5447,77.9
Texarkana,45080,36317,23.3
Tyler,52932,106985,29.4
University Park,224485,24985,87.8
Victoria,54192,66916,20.7
Waco,40190,139236,24.9
Wichita Falls,47476,104683,23.8